,PLACEKEY,LOCATION_NAME,TOP_CATEGORY,SUB_CATEGORY,NAICS_CODE,LATITUDE,LONGITUDE,CITY,REGION,OPEN_HOURS,CATEGORY_TAGS,OPENED_ON,CLOSED_ON,TRACKING_CLOSED_SINCE
1066,22r-222@8g6-ym3-wkz,Stuart Weitzman,Shoe Stores,Shoe Stores,448210,33.846305,-84.363428,Atlanta,GA,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""12:00"", ""19:00""]] }","Bridal,Leather,Women's Clothing",,,2019-07
1067,zzy-222@8g6-ykx-kpv,Pricci di fibi,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.837318,-84.371489,Atlanta,GA,,Pizza,,,2019-07
1068,22b-223@8g7-479-qpv,Empire SALON Suites,Personal Care Services,Beauty Salons,812112,33.77028,-84.3837,Atlanta,GA,,,,,2019-07
1069,222-246@8g6-yky-grk,Elan Diamond Group,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores,448310,33.838758,-84.381017,Atlanta,GA,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""11:00"", ""18:00""]], ""Sun"": [] }","Gold Buyers,Jewelry,Watches",,2021-09,2019-07
1070,zzw-223@8g7-46m-d5f,Saxbys Coffee,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.752831,-84.386303,Atlanta,GA,"{ ""Mon"": [[""7:30"", ""21:00""]], ""Tue"": [[""7:30"", ""21:00""]], ""Wed"": [[""7:30"", ""21:00""]], ""Thu"": [[""7:30"", ""21:00""]], ""Fri"": [[""7:30"", ""15:00""]], ""Sat"": [], ""Sun"": [] }","Breakfast,Catering,Coffee Shop,Counter Service,Dessert,Sandwich Shop,Snacks",2021-09,2022-10,2019-07
1071,223-222@8g6-ykz-bx5,Destination XL,Clothing Stores,Men's Clothing Stores,448110,33.840145,-84.376678,Atlanta,GA,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""12:00"", ""18:00""]] }","Accessories,Formal Wear,Men's Clothing,Plus Size,Sportswear",,,2019-07
1072,zzw-228@8g7-474-ht9,Fitness 1440,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,33.786922,-84.382715,Atlanta,GA,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",Yoga,,2023-08,2019-07
1073,222-23m@8g6-yjx-g8v,BeUTee Bath and Body,Health and Personal Care Stores,"Cosmetics, Beauty Supplies, and Perfume Stores",446120,33.921072,-84.382944,Sandy Springs,GA,"{ ""Mon"": [[""18:00"", ""23:30""]], ""Tue"": [[""18:00"", ""23:30""]], ""Wed"": [[""18:00"", ""23:30""]], ""Thu"": [[""18:00"", ""23:30""]], ""Fri"": [[""18:00"", ""23:30""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [[""12:00"", ""18:00""]] }",Cosmetics,,,2019-07
1074,23x-226@8g7-477-8gk,Subway,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.761597,-84.394956,Atlanta,GA,"{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""8:00"", ""21:00""]] }","Breakfast,Counter Service,Dinner,Lunch,Sandwich Shop",,,2019-07
1075,222-22b@8g6-ym3-wff,Bevello,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores,448310,33.84665,-84.365555,Atlanta,GA,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""12:00"", ""18:00""]] }","Accessories,Jewelry,Women's Clothing",,2023-06,2019-07
1076,223-232@8g6-yjy-28v,Metrotainment Cafes,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.923011,-84.339966,Atlanta,GA,,Cafe,,,2019-07
1077,zzy-222@8g6-yjn-59f,Tropical Smoothie Café,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,33.932153,-84.348587,Atlanta,GA,"{ ""Mon"": [[""7:00"", ""21:00""]], ""Tue"": [[""7:00"", ""21:00""]], ""Wed"": [[""7:00"", ""21:00""]], ""Thu"": [[""7:00"", ""21:00""]], ""Fri"": [[""7:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""10:00"", ""20:00""]] }","Breakfast,Counter Service,Dinner,Lunch,Sandwich Shop,Smoothie & Juice Bar",2023-02,,2019-07
1078,22c-226@8g7-47b-pvz,Rpm,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,33.770836,-84.386264,Atlanta,GA,"{ ""Mon"": [[""5:30"", ""21:00""]], ""Tue"": [[""5:30"", ""21:00""]], ""Wed"": [[""5:30"", ""21:00""]], ""Thu"": [[""5:30"", ""21:00""]], ""Fri"": [[""5:30"", ""20:00""]], ""Sat"": [[""10:00"", ""15:00""]], ""Sun"": [] }",Nutritionists,,,2019-07
1079,zzw-225@8g7-46m-nh5,City Gear,Department Stores,Department Stores,452210,33.753736,-84.390665,Atlanta,GA,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""12:00"", ""18:00""]] }",,,,2019-07
1080,zzy-225@8g6-yjx-g8v,Sandy Springs Body Works,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,33.919265,-84.38237,Sandy Springs,GA,"{ ""Mon"": [[""5:00"", ""21:00""]], ""Tue"": [[""5:00"", ""21:00""]], ""Wed"": [[""5:00"", ""21:00""]], ""Thu"": [[""5:00"", ""21:00""]], ""Fri"": [[""5:00"", ""18:00""]], ""Sat"": [[""7:00"", ""17:00""]], ""Sun"": [[""10:00"", ""17:00""]] }",,,2022-04,2019-07
1081,zzw-222@8g6-yjv-dy9,Sandy Springs Gymnastics,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,33.91815,-84.361793,Atlanta,GA,"{ ""Mon"": [[""9:00"", ""13:00""], [""14:00"", ""19:00""]], ""Tue"": [[""9:00"", ""13:00""], [""14:00"", ""19:00""]], ""Wed"": [[""9:00"", ""13:00""], [""14:00"", ""19:00""]], ""Thu"": [[""9:00"", ""13:00""], [""14:00"", ""19:00""]], ""Fri"": [[""9:00"", ""13:00""], [""14:00"", ""19:00""]], ""Sat"": [[""9:00"", ""13:00""]], ""Sun"": [] }",Gymnastics,,2023-06,2019-07
1082,225-223@8g6-yjy-nbk,Hopdoddy Burger Bar,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.919934,-84.350944,Sandy Springs,GA,"{ ""Mon"": [[""11:00"", ""22:00""]], ""Tue"": [[""11:00"", ""22:00""]], ""Wed"": [[""11:00"", ""22:00""]], ""Thu"": [[""11:00"", ""22:00""]], ""Fri"": [[""11:00"", ""23:00""]], ""Sat"": [[""11:00"", ""23:00""]], ""Sun"": [[""11:00"", ""22:00""]] }","Burgers,Counter Service,Dinner,Lunch",2023-01,,2019-07
